,Close,Open,High,Low,Volume,Adj Close,Returns,SMA_20,SMA_50
2024-04-01,39.67654263095076,39.5116498941571,39.70035254870063,39.51760581706387,393307,39.67654263095076,,,
2024-04-02,40.834976401672954,40.96212691091181,40.969762578462934,40.41599710956265,54118,40.834976401672954,0.029196943430714217,,
2024-04-03,40.58439034075951,40.42954669322294,40.727887507474605,40.104536893256444,406332,40.58439034075951,-0.006136554566569474,,
2024-04-04,41.18981906443261,41.38770008227995,41.58058777932583,40.839208377053744,472915,41.18981906443261,0.01491777303021502,,
2024-04-05,40.96157193832221,41.00627669508448,41.96342995578626,40.92279340351345,253598,40.96157193832221,-0.005541348112099276,,
2024-04-08,41.6371766756161,41.93111675393912,42.123323408460934,40.70963090726555,248200,41.6371766756161,0.01649362329920301,,
2024-04-09,41.2710760206259,41.39480868185297,42.16890239291856,40.68390061514824,426248,41.2710760206259,-0.008792638795910412,,
2024-04-10,41.11767002153236,41.15967722473636,41.91126108710865,39.96857655650425,481737,41.11767002153236,-0.003717034152850074,,
2024-04-11,41.32653612627614,41.034063309822606,42.07133743782456,40.68319647829276,243412,41.32653612627614,0.0050797164487772495,,
2024-04-12,40.815276616496405,40.545905003181424,41.57800837420066,39.88368559992928,58456,40.815276616496405,-0.012371216116868422,,
2024-04-15,41.03147142778383,41.17945232281134,41.28246230337001,40.157671103779805,216872,41.03147142778383,0.005296909128383653,,
2024-04-16,41.30260776141225,41.33313709883422,42.356524986699284,40.596686412849344,226244,41.30260776141225,0.006608009028036488,,
2024-04-17,42.04777278327444,42.45307614907944,43.24234165104948,41.54323490267457,366745,42.04777278327444,0.018041597425680678,,
2024-04-18,42.3211944863591,42.702209710952054,42.622395815667744,41.076203749596786,422767,42.3211944863591,0.006502644135135238,,
2024-04-19,41.542529895532795,41.25241816634225,41.9626498720327,40.500451564769605,84889,41.542529895532795,-0.018398927541548482,,
2024-04-22,41.73343279391239,41.86805073306196,42.12908826974846,41.31321292742947,187630,41.73343279391239,0.004595360438077956,,
2024-04-23,41.66029619735931,41.531115312384806,42.238290122406205,41.0366544635325,334082,41.66029619735931,-0.0017524701817424049,,
2024-04-24,41.883210620852005,41.742219485338126,42.93104953995733,41.785086287447065,48732,41.883210620852005,0.005350764248930773,,
2024-04-25,41.74611614268191,42.089175525923245,42.346237445267825,41.41108352318518,204880,41.74611614268191,-0.0032732561839907692,,
2024-04-26,41.42718037767735,41.44071154294426,42.17453621258239,40.43504774973904,79122,41.42718037767735,-0.007639890712575204,41.30554241617652,
2024-04-29,41.554598849773456,41.22454228960056,41.72732807452219,41.391655002120544,485923,41.554598849773456,0.0030757215657564174,41.39944522711765,
2024-04-30,40.54898730974017,40.64024353584421,41.301137252842324,40.47531409483095,18525,40.54898730974017,-0.02419976531764223,41.385145772521014,
2024-05-01,40.837017175421664,40.621528906417176,41.667561673762435,40.5609728734007,241157,40.837017175421664,0.007103256697419624,41.39777711425411,
2024-05-02,40.86651838352539,40.58600725502238,41.78395344931911,39.950009244141796,27428,40.86651838352539,0.0007224133921681641,41.38161208020876,
2024-05-03,41.16632272396646,41.466961561014756,41.92844967944844,41.160720485280876,351869,41.16632272396646,0.00733618503116551,41.39184961949097,
2024-05-06,41.489259382829545,41.33240442572853,41.588622434196736,41.24007937105269,131116,41.489259382829545,0.007844680736447618,41.38445375485164,
2024-05-07,41.39479424780631,41.331177257524935,41.82160475408635,41.182372251332474,48224,41.39479424780631,-0.0022768575874442254,41.39063966621067,
2024-05-08,41.27729475369057,41.213570664055545,41.91651589697886,40.61165656043222,112056,41.27729475369057,-0.0028385089538636166,41.39862090281857,
2024-05-09,41.53391964122338,41.895224430649705,42.61067595556312,40.29214804407228,121790,41.53391964122338,0.006217095598540112,41.408990078565935,
2024-05-10,41.271385018265136,41.01001198654629,41.71429062288334,40.39311809280823,167139,41.271385018265136,-0.006320969107323826,41.431795498654374,
2024-05-13,40.5795310720514,40.83561359200162,41.03405344759585,40.353649696177726,406958,40.5795310720514,-0.016763526252088323,41.40919848086775,
2024-05-14,40.10208220629021,39.83520596983118,41.00676582758469,39.49223608402446,388335,40.10208220629021,-0.011765756112692594,41.34917220311165,
2024-05-15,39.41147387357815,39.56649633753042,39.47556852684603,39.391021632782476,92731,39.41147387357815,-0.017221258715681698,41.21735725762683,
2024-05-16,38.96269858754499,38.700923105748586,39.367393139141754,37.931261197525565,105915,38.96269858754499,-0.011386919643571747,41.04943246268613,
2024-05-17,37.96580045552018,37.82495054883529,38.620961635825516,37.075668210612,405554,37.96580045552018,-0.025585962168017895,40.8705959906855,
2024-05-20,38.15024127779299,38.365729015561264,38.94663882952998,37.73795730859691,13463,38.15024127779299,0.004858078061304116,40.691436414879526,
2024-05-21,37.61818594274978,37.77361617355392,38.60002530884815,37.40236215004377,369655,37.61818594274978,-0.013946316385498592,40.48933090214906,
2024-05-22,37.80071022482186,38.088568226031136,38.477994526021554,36.85131177621044,371600,37.80071022482186,0.00485202243270999,40.28520588234754,
2024-05-23,37.581436281260345,37.58999330778218,38.33894569590407,37.40861699089722,150793,37.581436281260345,-0.005800788986698224,40.076971889276464,
2024-05-24,37.59478599534238,37.74880038783866,38.09058103881011,37.229604019616765,183158,37.59478599534238,0.0003552209655353078,39.88535217015972,
2024-05-27,36.87981699018165,37.04001551836501,37.15327138310345,36.09327428839641,385602,36.87981699018165,-0.01901777031658869,39.65161307718013,
2024-05-28,37.461526041766604,37.74503720481193,37.74703536200329,36.566609051598434,95125,37.461526041766604,0.015773100277038266,39.49724001378145,
2024-05-29,37.24004319003462,37.447638150971805,37.43100288395775,37.08309881031485,306251,37.24004319003462,-0.005912275209639106,39.3173913145121,
2024-05-30,37.480742880950174,37.73624212465747,38.49282113573049,36.70269902401269,114335,37.480742880950174,0.006463464332929769,39.14810253938334,
2024-05-31,37.73049818396083,37.507122654500506,38.58149102882481,36.81497915980602,383238,37.73049818396083,0.006663563307802045,38.97631131238306,
2024-06-03,37.4048063145805,37.182663354526625,38.480969180293414,37.18735257223169,225285,37.4048063145805,-0.008632058548296295,38.7720886589706,
2024-06-04,37.496056519593736,37.289255621460576,38.118044967567705,37.13867421926311,252948,37.496056519593736,0.002439531546983842,38.57715177255997,
2024-06-05,36.448224131876536,36.661999981655924,36.474658947308924,35.83640884910448,348126,36.448224131876536,-0.027945135701661017,38.335698241469274,
2024-06-06,35.202253192223985,35.04467374643004,35.86660302871614,34.21468205249756,318961,35.202253192223985,-0.034184681677340234,38.0191149190193,
