Date,Strategy,Buy&Hold,Outperformance,Year,Month,MonthName
2024-04-30,0.0,0.17644485924575015,-0.17644485924575015,2024,4,Apr
2024-05-31,0.0,13.022221030133597,-13.022221030133597,2024,5,May
2024-06-30,9.725775329589892,9.555261680013217,0.1705136495766757,2024,6,Jun
2024-07-31,9.410466284033259,5.441087798862432,3.969378485170827,2024,7,Jul
2024-08-31,7.235838575740217,3.2353490056139744,4.000489570126242,2024,8,Aug
2024-09-30,3.3235921724633855,1.74672946912231,1.5768627033410754,2024,9,Sep
2024-10-31,1.9840992369805743,-3.042919385902987,5.027018622883562,2024,10,Oct
2024-11-30,5.793637995546375,5.170691257029336,0.6229467385170384,2024,11,Nov
2024-12-31,6.8302042508187055,5.515526360793577,1.3146778900251288,2024,12,Dec
2025-01-31,2.916475753406944,-5.758324594606101,8.674800348013045,2025,1,Jan
2025-02-28,1.7095835522825453,2.587240630932608,-0.8776570786500626,2025,2,Feb
2025-03-31,-6.70335591137211,-9.899108006914648,3.1957520955425367,2025,3,Mar
